model,zone,resource_name,tech_type,unit,planning_year,case,start_value,end_value
USENSYS,PJMW,PJMW_utilitypv_class1_moderate_2,Solar,MW,2050,26z-debug-foresight,0,39786
USENSYS,PJMW,PJMW_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug-foresight,0,10156
USENSYS,RMRG,RMRG_battery_moderate_0,Battery,MW,2050,26z-debug-foresight,0,1
USENSYS,RMRG,RMRG_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,2104
USENSYS,RMRG,RMRG_hydrogen_ctavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,16428
USENSYS,RMRG,RMRG_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug-foresight,0,29551
USENSYS,RMRG,RMRG_landbasedwind_class3_moderate_4,Wind,MW,2040,26z-debug-foresight,0,20613
USENSYS,RMRG,RMRG_landbasedwind_class3_moderate_4,Wind,MW,2050,26z-debug-foresight,20613,27157
USENSYS,RMRG,RMRG_utilitypv_class1_moderate_1,Solar,MW,2030,26z-debug-foresight,0,1831
USENSYS,RMRG,RMRG_utilitypv_class1_moderate_1,Solar,MW,2040,26z-debug-foresight,1832,6877
USENSYS,RMRG,RMRG_utilitypv_class1_moderate_1,Solar,MW,2050,26z-debug-foresight,6877,11951
USENSYS,SPPC,SPPC_battery_moderate_0,Battery,MW,2050,26z-debug-foresight,0,1
USENSYS,SPPC,SPPC_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,1,371
USENSYS,SPPC,SPPC_hydrogen_ctavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,127
USENSYS,SPPC,SPPC_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug-foresight,0,6089
USENSYS,SPPC,SPPC_landbasedwind_class3_moderate_0,Wind,MW,2040,26z-debug-foresight,6089,14192
USENSYS,SPPC,SPPC_landbasedwind_class3_moderate_0,Wind,MW,2050,26z-debug-foresight,14193,15042
USENSYS,SPPC,SPPC_landbasedwind_class3_moderate_5,Wind,MW,2030,26z-debug-foresight,0,6065
USENSYS,SPPC,SPPC_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug-foresight,0,4373
USENSYS,SPPC,SPPC_utilitypv_class1_moderate_5,Solar,MW,2040,26z-debug-foresight,4373,8078
USENSYS,SPPC,SPPC_utilitypv_class1_moderate_5,Solar,MW,2050,26z-debug-foresight,8078,12984
USENSYS,SPPN,SPPN_battery_moderate_0,Battery,MW,2050,26z-debug-foresight,0,1
USENSYS,SPPN,SPPN_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,6673
USENSYS,SPPN,SPPN_hydrogen_ctavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,7491
USENSYS,SPPN,SPPN_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug-foresight,0,1846
USENSYS,SPPN,SPPN_landbasedwind_class3_moderate_0,Wind,MW,2040,26z-debug-foresight,1846,18321
