GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost,gen_storage_energy_fixed_om
Eastern_natural_gas_fired_combined_cycle_1,1945,0,0,.,0
Eastern_natural_gas_fired_combined_cycle_1,1948,0,0,.,0
Eastern_natural_gas_fired_combined_cycle_1,1950,0,0,.,0
Eastern_natural_gas_fired_combined_cycle_1,1951,0,0,.,0
Eastern_natural_gas_fired_combined_cycle_1,1953,0,0,.,0
Eastern_natural_gas_fired_combined_cycle_1,1954,0,0,.,0
Eastern_natural_gas_fired_combined_cycle_1,1956,0,0,.,0
Eastern_natural_gas_fired_combined_cycle_1,1957,0,0,.,0
Eastern_natural_gas_fired_combined_cycle_1,1958,0,0,.,0
Eastern_natural_gas_fired_combined_cycle_1,1959,0,0,.,0
Eastern_natural_gas_fired_combined_cycle_1,1961,0,0,.,0
Eastern_natural_gas_fired_combined_cycle_1,1962,0,0,.,0
Eastern_natural_gas_fired_combined_cycle_1,1963,0,0,.,0
